"GAMEID","DESC","CMD"
"1","Data Attack! - A one dimensional game of RISK!                                ","CALL ATTACK/GAMEUI                                                            "
"2","Grizzly Widgets 2048                                                          ","CALL G2K/GAME                                                                 "
